weather_id,collision_rate,out_of_road_length,distance_to_route,incomplete_route,running_time,final_score
0,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
0,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
0,0.78,0.02,0.08,0.31,0.81,0.49600000000000005
0,0.75,0.02,0.09,0.31,0.84,0.48800000000000004
0,0.69,0.01,0.1,0.29,0.84,0.458
0,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
0,0.75,0.02,0.09,0.3,0.82,0.48300000000000004
0,0.72,0.06,0.1,0.3,0.82,0.47600000000000003
0,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
0,0.75,0.04,0.09,0.31,0.82,0.48800000000000004
1,0.78,0.03,0.09,0.31,0.82,0.49900000000000005
1,0.75,0.04,0.09,0.3,0.82,0.48500000000000004
1,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
1,0.78,0.03,0.09,0.3,0.82,0.49600000000000005
1,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
1,0.75,0.06,0.09,0.3,0.82,0.48700000000000004
1,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
1,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
1,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
1,0.75,0.05,0.09,0.3,0.82,0.48600000000000004
2,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
2,0.75,0.03,0.09,0.3,0.84,0.48600000000000004
2,0.75,0.04,0.09,0.3,0.82,0.48500000000000004
2,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
2,0.78,0.01,0.09,0.33,0.84,0.505
2,0.75,0.05,0.09,0.3,0.83,0.48700000000000004
2,0.78,0.02,0.09,0.3,0.78,0.49100000000000005
2,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
2,0.72,0.04,0.09,0.3,0.82,0.47300000000000003
2,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
3,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
3,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
3,0.75,0.05,0.09,0.3,0.83,0.48700000000000004
3,0.78,0.02,0.09,0.31,0.82,0.49800000000000005
3,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
3,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
3,0.72,0.03,0.09,0.3,0.84,0.47400000000000003
3,0.75,0.03,0.09,0.3,0.83,0.48500000000000004
3,0.75,0.05,0.1,0.3,0.78,0.48300000000000004
3,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
4,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
4,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
4,0.75,0.02,0.09,0.31,0.82,0.48600000000000004
4,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
4,0.78,0.03,0.09,0.3,0.79,0.49300000000000005
4,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
4,0.75,0.03,0.09,0.3,0.82,0.48400000000000004
