Station_Id_C Year Mon Day Hour PRS PRS_Sea PRS_Max PRS_Min WIN_S_Max WIN_S_Inst_Max WIN_D_INST_Max WIN_D_Avg_2mi WIN_S_Avg_2mi WIN_D_S_Max TEM TEM_Max TEM_Min RHU RHU_Min PRE_3h
58361 2025 3 4 9 1019.0000 1019.6000 1019.1000 1017.9000 3.4000 6.7000 282 322 2.7000 313 7.0000 7.3000 7.0000 83 79 0.0000 
58361 2025 3 4 12 1020.3000 1020.9000 1020.5000 1019.5000 2.3000 5.9000 330 338 1.1000 309 6.2000 6.3000 6.2000 92 89 0.0000 
58361 2025 3 4 15 1021.2000 1021.8000 1021.2000 1020.7000 2.0000 4.9000 355 317 1.0000 351 6.8000 7.0000 6.8000 87 85 0.0000 
58361 2025 3 4 18 1021.9000 1022.5000 1022.2000 1021.7000 2.4000 6.2000 327 314 0.8000 334 6.4000 6.8000 6.4000 85 84 0.1000 
58361 2025 3 4 21 1021.5000 1022.1000 1021.9000 1021.1000 3.2000 8.1000 353 348 2.4000 2 6.1000 6.1000 6.1000 78 78 0.0000 
58361 2025 3 5 0 1024.0000 1024.6000 1024.6000 1024.0000 2.4000 4.9000 309 11 1.4000 7 6.5000 6.5000 6.2000 70 70 0.0000 
58361 2025 3 5 3 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999 999999 999999.0000 999999 999999.0000 999999.0000 999999.0000 999999 999999 0.0000 
58361 2025 3 5 6 1024.1000 1024.7000 1024.1000 1023.5000 2.8000 6.0000 318 326 2.8000 12 8.4000 8.5000 8.2000 62 61 0.0000 
58361 2025 3 5 9 1023.4000 1024.0000 1023.8000 1023.4000 3.2000 6.7000 23 48 2.8000 28 8.0000 8.4000 8.0000 61 59 0.0000 
58361 2025 3 5 12 1025.8000 1026.4000 1025.8000 1024.8000 2.9000 7.0000 51 56 2.0000 49 6.9000 7.2000 6.9000 62 61 0.0000 
58361 2025 3 5 15 1027.0000 1027.6000 1027.4000 1027.0000 3.2000 6.2000 358 7 2.1000 357 6.6000 6.8000 6.6000 69 65 0.0000 
58361 2025 3 5 18 1028.0000 1028.6000 1028.1000 1027.4000 3.0000 6.4000 354 5 3.4000 7 6.4000 6.5000 6.4000 71 71 0.0000 
58361 2025 3 5 21 1028.8000 1029.4000 1028.8000 1028.3000 2.8000 7.3000 353 339 1.4000 349 6.0000 6.1000 6.0000 73 70 0.0000 
58361 2025 3 6 0 1030.8000 1031.4000 1030.8000 1030.1000 2.7000 5.6000 358 347 2.0000 358 6.5000 6.5000 6.0000 71 70 0.0000 
58361 2025 3 6 3 1031.0000 1031.6000 1031.2000 1031.0000 3.7000 7.6000 350 347 3.6000 7 9.3000 9.5000 8.3000 55 54 0.0000 
58361 2025 3 6 6 1029.9000 1030.5000 1030.3000 1029.9000 4.3000 8.5000 344 319 3.8000 3 11.4000 11.7000 10.8000 43 43 0.0000 
58361 2025 3 6 9 1030.2000 1030.8000 1030.2000 1029.7000 4.2000 8.1000 356 14 3.7000 9 9.8000 10.7000 9.8000 47 45 0.0000 
58361 2025 3 6 12 1031.4000 1032.0000 1031.4000 1030.9000 2.2000 5.2000 44 27 1.7000 41 7.0000 7.8000 7.0000 55 50 0.0000 
58361 2025 3 6 15 1031.3000 1031.9000 1031.5000 1031.3000 1.6000 3.1000 4 48 1.2000 6 5.6000 5.7000 5.5000 71 68 0.0000 
58361 2025 3 6 18 1030.4000 1031.0000 1031.1000 1030.4000 1.0000 1.9000 27 999017 0.1000 353 4.3000 5.1000 4.3000 79 74 0.0000 
58361 2025 3 6 21 1029.7000 1030.3000 1029.8000 1029.5000 1.1000 2.0000 325 289 0.5000 319 3.5000 3.7000 3.0000 85 85 0.0000 
58361 2025 3 7 0 1030.3000 1030.9000 1030.5000 1029.9000 1.1000 2.1000 301 2 1.0000 262 5.9000 5.9000 4.0000 75 74 0.0000 
58361 2025 3 7 3 1028.8000 1029.4000 1029.5000 1028.7000 2.2000 4.2000 141 98 1.5000 66 10.1000 10.1000 8.8000 42 42 0.0000 
58361 2025 3 7 6 1026.1000 1026.7000 1026.3000 1025.9000 1.9000 3.7000 213 198 2.2000 163 10.4000 10.8000 10.3000 42 40 0.0000 
58361 2025 3 7 9 1025.3000 1025.9000 1025.8000 1025.2000 2.0000 3.6000 236 242 1.1000 281 9.8000 10.1000 9.7000 47 46 0.0000 
58361 2025 3 7 12 1026.0000 1026.6000 1026.2000 1025.7000 1.7000 3.6000 186 141 1.3000 182 8.0000 8.5000 8.0000 57 54 0.0000 
58361 2025 3 7 15 1026.2000 1026.8000 1026.4000 1026.0000 0.9000 2.1000 147 999017 0.2000 128 5.9000 6.8000 5.9000 68 63 0.0000 
58361 2025 3 7 18 1025.4000 1026.0000 1025.6000 1025.4000 0.3000 0.5000 90 999017 0.0000 105 2.9000 3.4000 2.8000 88 85 0.0000 
58361 2025 3 7 21 1025.5000 1026.1000 1025.5000 1025.1000 0.0000 0.0000 999017 999017 0.0000 999017 2.0000 2.3000 2.0000 92 91 0.0000 
58361 2025 3 8 0 1026.5000 1027.1000 1026.6000 1026.0000 0.0000 0.0000 999017 999017 0.0000 999017 6.0000 6.0000 2.6000 82 82 0.0000 
58361 2025 3 8 3 1027.5000 1028.1000 1027.6000 1027.5000 1.6000 4.2000 12 312 1.4000 276 11.5000 11.5000 10.4000 44 43 0.0000 
58361 2025 3 8 6 1025.5000 1026.1000 1026.0000 1025.5000 2.5000 5.7000 5 354 0.7000 314 14.2000 14.2000 13.1000 31 31 0.0000 
58361 2025 3 8 9 1025.5000 1026.1000 1025.5000 1025.1000 2.2000 4.1000 21 34 1.9000 34 12.7000 13.7000 12.7000 35 33 0.0000 
58361 2025 3 8 12 1027.1000 1027.7000 1027.1000 1026.4000 2.2000 5.6000 97 82 2.3000 85 8.2000 9.4000 8.2000 53 47 0.0000 
58361 2025 3 8 15 1028.1000 1028.7000 1028.4000 1028.0000 2.2000 4.7000 100 72 1.4000 79 6.2000 6.5000 6.2000 76 73 0.0000 
58361 2025 3 8 18 1028.3000 1028.9000 1028.7000 1028.3000 0.8000 1.8000 47 65 0.7000 70 4.8000 4.9000 4.7000 88 85 0.0000 
58361 2025 3 8 21 1028.0000 1028.6000 1028.1000 1027.7000 0.9000 2.3000 72 92 1.2000 71 6.7000 6.8000 6.7000 82 81 0.0000 
58361 2025 3 9 0 1029.1000 1029.7000 1029.1000 1028.8000 1.8000 4.3000 78 31 0.6000 79 8.7000 8.7000 6.3000 78 78 0.0000 
58361 2025 3 9 3 1028.9000 1029.5000 1029.5000 1028.9000 2.6000 5.6000 94 77 1.8000 101 13.1000 13.1000 11.4000 52 51 0.0000 
58361 2025 3 9 6 1026.5000 1027.1000 1027.0000 1026.4000 2.9000 6.0000 113 77 2.3000 161 14.2000 15.0000 13.6000 49 44 0.0000 
58361 2025 3 9 9 1027.1000 1027.7000 1027.2000 1026.2000 2.6000 5.1000 147 149 1.4000 152 12.1000 13.1000 12.1000 59 52 0.0000 
58361 2025 3 9 12 1027.0000 1027.6000 1027.2000 1026.6000 2.3000 5.4000 86 82 1.4000 95 10.3000 10.3000 10.3000 82 80 0.0000 
58361 2025 3 9 15 1026.1000 1026.7000 1026.9000 1026.1000 1.9000 3.8000 100 102 2.1000 86 10.7000 10.7000 10.6000 85 84 0.0000 
58361 2025 3 9 18 1024.6000 1025.2000 1025.5000 1024.6000 1.6000 3.1000 97 122 1.1000 93 10.9000 10.9000 10.9000 84 84 0.0000 
58361 2025 3 9 21 1023.3000 1023.9000 1023.9000 1022.9000 1.3000 3.0000 121 110 1.4000 95 11.2000 11.2000 11.0000 82 82 0.0000 
58361 2025 3 10 0 1023.9000 1024.5000 1024.0000 1023.4000 1.1000 2.4000 57 83 0.5000 73 11.4000 11.4000 11.3000 86 84 0.0000 
58361 2025 3 10 3 1023.5000 1024.1000 1023.8000 1023.5000 1.5000 3.4000 171 139 1.0000 137 12.2000 12.2000 12.0000 85 85 0.0000 
58361 2025 3 10 6 1021.4000 1022.0000 1021.8000 1021.4000 1.3000 2.2000 192 316 0.5000 189 13.6000 13.6000 13.1000 74 74 0.0000 
58362 2025 3 4 9 1018.8000 1019.8000 1018.9000 1016.9000 5.3000 9.4000 321 329 4.5000 324 7.1000 7.2000 7.1000 84 83 0.0000 
58362 2025 3 4 12 1019.7000 1020.7000 1019.8000 1019.2000 5.2000 7.5000 337 350 3.2000 331 6.3000 6.5000 6.3000 92 89 0.0000 
58362 2025 3 4 15 1020.8000 1021.8000 1020.8000 1020.3000 4.1000 6.3000 343 343 4.4000 335 6.7000 6.8000 6.7000 82 81 0.0000 
58362 2025 3 4 18 1021.9000 1022.9000 1022.0000 1021.5000 4.7000 7.9000 321 326 4.4000 326 5.9000 6.3000 5.9000 85 82 0.0000 
58362 2025 3 4 21 1021.3000 1022.3000 1021.6000 1021.2000 5.2000 8.5000 336 350 4.6000 333 6.0000 6.1000 6.0000 77 77 0.0000 
58362 2025 3 5 0 1023.8000 1024.9000 1024.2000 1023.6000 3.7000 6.4000 343 3 3.4000 329 6.2000 6.2000 6.0000 74 73 0.0000 
58362 2025 3 5 3 1024.7000 1025.7000 1025.0000 1024.2000 5.7000 8.6000 351 359 4.0000 348 7.7000 7.7000 6.8000 67 67 0.0000 
58362 2025 3 5 6 1023.7000 1024.7000 1023.7000 1023.1000 4.7000 8.2000 2 1 3.2000 342 8.2000 8.2000 7.8000 62 61 0.0000 
58362 2025 3 5 9 1023.8000 1024.9000 1024.0000 1023.3000 5.6000 8.8000 33 24 5.1000 28 7.1000 7.5000 7.1000 66 64 0.0000 
58362 2025 3 5 12 1025.3000 1026.4000 1025.3000 1024.8000 4.9000 9.5000 27 11 4.7000 20 6.2000 6.4000 6.2000 67 65 0.0000 
58362 2025 3 5 15 1027.1000 1028.2000 1027.4000 1027.0000 3.9000 6.8000 350 355 3.5000 353 6.1000 6.2000 6.1000 75 74 0.0000 
58362 2025 3 5 18 1027.6000 1028.7000 1027.7000 1027.4000 5.3000 7.9000 353 345 3.9000 350 5.9000 5.9000 5.8000 73 73 0.0000 
58362 2025 3 5 21 1028.5000 1029.6000 1028.5000 1028.1000 5.0000 8.1000 346 348 4.4000 349 5.7000 5.9000 5.7000 76 75 0.0000 
58362 2025 3 6 0 1030.5000 1031.6000 1030.5000 1029.9000 5.9000 9.7000 349 355 6.0000 351 6.4000 6.8000 5.5000 74 72 0.0000 
58362 2025 3 6 3 1031.0000 1032.1000 1031.1000 1030.9000 5.5000 9.3000 358 23 5.2000 353 8.2000 9.0000 7.9000 57 56 0.0000 
58362 2025 3 6 6 1030.0000 1031.1000 1030.2000 1030.0000 6.4000 9.5000 352 355 5.5000 340 10.0000 10.7000 9.6000 54 51 0.0000 
58362 2025 3 6 9 1030.1000 1031.2000 1030.1000 1029.6000 6.2000 9.3000 354 355 6.4000 351 9.0000 9.8000 9.0000 53 52 0.0000 
58362 2025 3 6 12 1031.2000 1032.3000 1031.3000 1030.8000 4.7000 7.3000 31 25 3.1000 24 5.8000 6.4000 5.8000 70 65 0.0000 
58362 2025 3 6 15 1031.0000 1032.1000 1031.2000 1031.0000 2.6000 4.8000 24 20 3.1000 25 5.1000 5.1000 4.8000 79 77 0.0000 
58362 2025 3 6 18 1029.9000 1031.0000 1030.7000 1029.9000 1.9000 2.6000 9 357 1.4000 3 3.7000 4.0000 3.7000 84 83 0.0000 
58362 2025 3 6 21 1029.3000 1030.4000 1029.3000 1029.1000 2.2000 2.6000 356 344 1.6000 357 3.2000 3.2000 3.0000 83 83 0.0000 
58362 2025 3 7 0 1029.8000 1030.9000 1029.8000 1029.4000 3.0000 4.4000 24 37 2.4000 29 6.6000 6.6000 4.7000 63 63 0.0000 
58362 2025 3 7 3 1028.3000 1029.4000 1029.1000 1028.3000 3.5000 5.2000 96 88 2.4000 72 9.7000 9.8000 8.4000 46 46 0.0000 
58362 2025 3 7 6 1025.6000 1026.7000 1026.0000 1025.5000 2.4000 3.5000 124 93 2.1000 146 10.1000 10.3000 9.5000 43 41 0.0000 
58362 2025 3 7 9 1024.9000 1026.0000 1025.5000 1024.9000 2.8000 4.1000 45 46 3.3000 44 9.1000 9.6000 9.1000 50 47 0.0000 
58362 2025 3 7 12 1025.4000 1026.5000 1025.7000 1025.3000 3.3000 4.9000 87 98 3.3000 92 7.8000 8.1000 7.8000 62 59 0.0000 
58362 2025 3 7 15 1025.9000 1026.9000 1025.9000 1025.6000 2.0000 3.1000 96 108 0.7000 94 6.3000 6.7000 6.3000 71 69 0.0000 
58362 2025 3 7 18 1024.8000 1025.9000 1025.0000 1024.7000 0.9000 1.3000 157 155 1.1000 150 3.5000 4.2000 3.5000 92 83 0.0000 
58362 2025 3 7 21 1025.0000 1026.1000 1025.0000 1024.6000 0.9000 1.0000 234 250 0.8000 238 2.8000 2.8000 2.6000 95 94 0.0000 
58362 2025 3 8 0 1025.9000 1027.0000 1025.9000 1025.7000 0.7000 1.0000 172 173 0.5000 192 5.6000 5.6000 2.5000 91 91 0.0000 
58362 2025 3 8 3 1027.1000 1028.1000 1027.1000 1026.9000 2.9000 5.0000 286 255 1.6000 272 10.8000 10.9000 10.1000 46 44 0.0000 
58362 2025 3 8 6 1025.6000 1026.6000 1026.0000 1025.6000 3.4000 6.4000 355 59 2.7000 358 12.3000 12.6000 11.9000 41 35 0.0000 
58362 2025 3 8 9 1025.3000 1026.4000 1025.3000 1024.9000 3.8000 6.0000 67 66 3.0000 43 11.5000 12.5000 11.5000 41 36 0.0000 
58362 2025 3 8 12 1026.8000 1027.9000 1026.9000 1026.3000 2.8000 4.7000 92 93 2.1000 86 7.4000 8.6000 7.4000 56 50 0.0000 
58362 2025 3 8 15 1027.7000 1028.7000 1028.0000 1027.6000 3.1000 5.4000 100 100 2.4000 100 6.3000 6.4000 6.0000 76 75 0.0000 
58362 2025 3 8 18 1028.0000 1029.0000 1028.3000 1028.0000 1.2000 1.5000 104 92 1.0000 118 4.7000 5.7000 4.7000 90 82 0.0000 
58362 2025 3 8 21 1027.7000 1028.7000 1027.7000 1027.2000 1.5000 2.9000 71 55 0.8000 67 6.3000 6.5000 5.4000 86 86 0.0000 
58362 2025 3 9 0 1028.8000 1029.9000 1028.8000 1028.5000 4.0000 6.4000 102 100 4.2000 103 8.7000 8.7000 6.7000 73 72 0.0000 
58362 2025 3 9 3 1028.8000 1029.8000 1029.3000 1028.8000 4.1000 6.4000 102 88 4.3000 93 10.9000 11.8000 10.5000 62 59 0.0000 
58362 2025 3 9 6 1026.4000 1027.4000 1027.0000 1026.3000 5.1000 7.3000 88 84 4.2000 92 12.6000 13.1000 12.1000 59 57 0.0000 
58362 2025 3 9 9 1026.8000 1027.8000 1026.9000 1026.1000 4.9000 7.0000 95 98 4.4000 92 10.8000 11.7000 10.8000 73 61 0.0000 
58362 2025 3 9 12 1026.6000 1027.6000 1026.9000 1026.3000 3.3000 6.3000 116 126 3.6000 122 10.4000 10.4000 10.3000 78 78 0.0000 
58362 2025 3 9 15 1026.0000 1027.0000 1026.5000 1026.0000 2.9000 5.6000 121 125 3.1000 122 10.6000 10.6000 10.4000 84 84 0.0000 
58362 2025 3 9 18 1024.3000 1025.3000 1025.2000 1024.3000 2.4000 4.0000 101 106 2.4000 94 10.6000 10.6000 10.5000 85 85 0.0000 
58362 2025 3 9 21 1023.0000 1024.0000 1023.4000 1022.9000 2.3000 4.1000 126 109 2.1000 107 10.7000 10.7000 10.6000 85 84 0.0000 
58362 2025 3 10 0 1023.9000 1024.9000 1023.9000 1023.4000 2.1000 3.6000 112 95 1.4000 109 11.1000 11.1000 10.9000 85 84 0.0000 
58362 2025 3 10 3 1023.2000 1024.2000 1023.6000 1022.9000 2.7000 5.1000 117 120 3.0000 107 11.5000 11.6000 11.1000 89 89 0.0000 
58362 2025 3 10 6 1021.2000 1022.2000 1021.6000 1021.2000 2.1000 3.0000 89 87 2.4000 89 11.5000 11.7000 11.4000 94 91 0.0000 
58365 2025 3 4 9 1019.4000 1020.1000 1019.4000 1017.8000 4.8000 8.9000 317 290 3.7000 319 6.1000 6.7000 6.1000 88 83 0.0000 
58365 2025 3 4 12 1020.0000 1020.7000 1020.2000 1019.7000 3.4000 6.4000 319 354 1.3000 322 6.0000 6.0000 5.8000 93 93 0.0000 
58365 2025 3 4 15 1021.3000 1022.0000 1021.3000 1020.8000 2.6000 5.0000 13 6 2.4000 5 6.6000 6.7000 6.6000 81 81 0.0000 
58365 2025 3 4 18 1022.2000 1022.9000 1022.3000 1022.0000 3.5000 5.5000 339 348 3.7000 351 5.6000 6.1000 5.6000 87 83 0.0000 
58365 2025 3 4 21 1021.6000 1022.3000 1021.9000 1021.5000 4.1000 6.8000 8 357 3.8000 2 5.7000 5.8000 5.7000 77 77 0.0000 
58365 2025 3 5 0 1024.1000 1024.8000 1024.5000 1024.1000 3.0000 5.5000 349 3 2.4000 345 5.7000 5.7000 5.6000 73 71 0.0000 
58365 2025 3 5 3 1024.8000 1025.5000 1025.4000 1024.5000 4.5000 7.2000 33 3 2.8000 26 7.5000 7.5000 6.9000 67 66 0.0000 
58365 2025 3 5 6 1024.1000 1024.8000 1024.1000 1023.5000 3.3000 5.4000 358 356 3.0000 17 7.9000 7.9000 7.5000 66 64 0.0000 
58365 2025 3 5 9 1023.8000 1024.5000 1024.2000 1023.8000 4.7000 8.3000 23 28 4.6000 26 7.2000 7.6000 7.2000 67 65 0.0000 
58365 2025 3 5 12 1025.7000 1026.4000 1025.7000 1024.9000 4.1000 7.1000 25 19 3.3000 24 6.1000 6.5000 6.1000 66 66 0.0000 
58365 2025 3 5 15 1027.3000 1028.0000 1027.7000 1027.3000 2.7000 4.7000 359 4 2.1000 349 5.9000 6.0000 5.9000 72 69 0.0000 
58365 2025 3 5 18 1027.9000 1028.6000 1028.1000 1027.7000 3.4000 6.2000 350 5 2.4000 7 5.8000 5.9000 5.8000 72 72 0.0000 
58365 2025 3 5 21 1028.7000 1029.4000 1028.8000 1028.5000 3.2000 6.2000 339 347 3.2000 340 5.4000 5.5000 5.4000 75 74 0.0000 
58365 2025 3 6 0 1030.9000 1031.6000 1030.9000 1030.2000 3.9000 6.5000 341 2 3.3000 345 6.1000 6.1000 5.1000 72 72 0.0000 
58365 2025 3 6 3 1031.4000 1032.1000 1031.5000 1031.3000 4.8000 7.9000 20 359 4.2000 2 8.0000 8.7000 7.4000 59 57 0.0000 
58365 2025 3 6 6 1030.2000 1030.9000 1030.5000 1030.2000 4.9000 8.3000 1 24 6.0000 3 9.8000 10.3000 9.7000 51 49 0.0000 
58365 2025 3 6 9 1030.4000 1031.1000 1030.4000 1029.8000 4.7000 8.4000 24 25 3.9000 20 8.9000 9.5000 8.9000 54 52 0.0000 
58365 2025 3 6 12 1031.6000 1032.3000 1031.6000 1031.0000 2.4000 5.2000 22 33 1.5000 37 5.6000 6.7000 5.6000 68 59 0.0000 
58365 2025 3 6 15 1031.3000 1032.0000 1031.5000 1031.3000 1.9000 3.2000 26 33 1.2000 28 4.3000 4.5000 4.3000 80 77 0.0000 
58365 2025 3 6 18 1030.3000 1031.0000 1031.0000 1030.3000 1.6000 2.4000 30 322 0.5000 34 3.5000 4.1000 3.5000 84 81 0.0000 
58365 2025 3 6 21 1029.7000 1030.4000 1029.7000 1029.4000 1.5000 1.9000 28 332 0.7000 28 1.7000 2.3000 1.6000 93 92 0.0000 
58365 2025 3 7 0 1030.2000 1030.9000 1030.2000 1029.8000 1.2000 1.6000 22 207 1.2000 14 4.3000 4.3000 2.8000 85 85 0.0000 
58365 2025 3 7 3 1028.5000 1029.2000 1029.4000 1028.5000 2.5000 5.1000 59 20 2.1000 69 8.6000 8.9000 7.7000 49 47 0.0000 
58365 2025 3 7 6 1025.9000 1026.6000 1026.2000 1025.8000 2.1000 3.2000 117 99 0.9000 115 9.6000 10.2000 9.5000 44 42 0.0000 
58365 2025 3 7 9 1025.0000 1025.7000 1025.6000 1025.0000 2.1000 4.0000 254 306 1.3000 258 9.7000 10.1000 9.7000 48 45 0.0000 
58365 2025 3 7 12 1025.6000 1026.3000 1025.8000 1025.5000 2.0000 4.4000 60 65 1.6000 58 7.8000 8.4000 7.8000 60 55 0.0000 
58365 2025 3 7 15 1026.0000 1026.7000 1026.1000 1025.8000 2.2000 4.5000 61 108 0.6000 63 6.3000 6.8000 6.3000 70 67 0.0000 
58365 2025 3 7 18 1025.1000 1025.8000 1025.3000 1025.1000 1.0000 1.2000 189 185 1.0000 178 3.4000 4.0000 3.4000 92 86 0.0000 
