weather_id,collision_rate,out_of_road_length,distance_to_route,incomplete_route,running_time,final_score
0,0.66,0.04,0.05,0.38,0.62,0.449
1,0.62,0.05,0.05,0.4,0.64,0.442
2,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
3,0.59,0.05,0.05,0.4,0.65,0.431
4,0.69,0.14,0.06,0.39,0.64,0.477
5,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
6,0.66,0.04,0.05,0.38,0.62,0.449
7,0.72,0.1,0.06,0.4,0.64,0.488
8,0.69,0.13,0.06,0.39,0.64,0.476
9,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
10,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
11,0.69,0.04,0.05,0.38,0.62,0.46099999999999997
12,0.62,0.08,0.06,0.4,0.65,0.447
13,0.69,0.14,0.06,0.39,0.65,0.478
14,0.62,0.05,0.05,0.4,0.64,0.442
15,0.69,0.04,0.05,0.38,0.62,0.46099999999999997
16,0.59,0.05,0.05,0.4,0.65,0.431
17,0.66,0.04,0.05,0.37,0.62,0.446
18,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
19,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
20,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
21,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
22,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
23,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
24,0.69,0.14,0.06,0.39,0.64,0.477
25,0.69,0.14,0.06,0.39,0.64,0.477
26,0.62,0.05,0.05,0.4,0.64,0.442
27,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
28,0.62,0.06,0.05,0.4,0.64,0.443
29,0.66,0.04,0.05,0.38,0.62,0.449
30,0.62,0.05,0.05,0.4,0.64,0.442
31,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
32,0.66,0.04,0.05,0.37,0.62,0.446
33,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
34,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
35,0.62,0.04,0.05,0.37,0.63,0.431
36,0.66,0.04,0.05,0.37,0.62,0.446
37,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
38,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
39,0.66,0.04,0.05,0.38,0.62,0.449
40,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
41,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
42,0.66,0.04,0.05,0.37,0.62,0.446
43,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
44,0.66,0.04,0.05,0.38,0.62,0.449
45,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
46,0.62,0.05,0.05,0.4,0.64,0.442
47,0.66,0.04,0.05,0.38,0.63,0.45
48,0.62,0.09,0.06,0.4,0.65,0.448
49,0.69,0.04,0.05,0.38,0.61,0.45999999999999996
